k,s,g,f,n,f,w,b,p,e,?,k,k,w,w,p,w,t,p,w,s,g,edible
f,f,y,f,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,y,p,poisonous
x,f,g,f,n,f,w,b,p,e,?,k,k,w,w,p,w,t,p,w,s,g,edible
x,y,e,f,s,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,d,poisonous
x,s,g,t,f,f,c,b,h,t,b,f,f,w,w,p,w,o,p,h,v,u,poisonous
x,s,n,f,f,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,l,poisonous
f,f,e,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,v,d,edible
x,f,n,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,n,s,g,edible
x,f,n,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,k,v,d,edible
f,y,g,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,k,y,d,edible
x,f,y,f,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,y,g,poisonous
f,y,n,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,k,y,d,edible
f,y,e,t,n,f,c,b,w,e,?,s,s,e,e,p,w,t,e,w,c,w,edible
x,f,g,f,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,v,p,poisonous
x,f,g,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,a,g,edible
f,s,w,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,k,s,g,edible
f,y,n,f,f,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,p,poisonous
f,y,e,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,n,y,d,edible
x,f,n,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,k,y,d,edible
f,f,g,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,s,g,edible
f,f,n,f,n,f,w,n,w,e,b,f,s,w,n,p,w,o,e,w,v,l,edible
x,s,e,f,f,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,l,poisonous
k,s,n,f,n,a,c,b,o,e,?,s,s,o,o,p,n,o,p,n,c,l,edible
f,f,n,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,k,v,d,edible
f,s,n,f,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,p,poisonous
f,y,g,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,n,v,d,edible
